team,implied_points_per_game,season_win_total,spread_tendency,notes
ARI,17.5,4.5,-3.5,Jeremiyah Love pick 3 - massive situation upgrade but bad team context; rebuild
ATL,20.0,6.5,-2.0,Penix year 2; limited offensive weapons; rebuilding
BAL,27.0,11.5,4.5,Lamar MVP-caliber; top passing game; tied for highest win total
BUF,26.0,10.5,3.5,Joe Brady new HC; Josh Allen still elite dual-threat
CAR,18.0,6.5,-2.5,Bryce Young developing; low ceiling offense
CHI,24.0,9.5,1.5,Caleb Williams expected year 2 leap
CIN,24.5,9.5,1.5,Burrow healthy return; +3.5 wins from 2025; weapons intact
CLE,19.5,7.5,-1.5,QB uncertainty; KC Concepcion WR drafted; rebuilding
DAL,22.0,8.5,0.5,Dak Prescott; Caleb Downs S drafted 11th; mid-tier offense
DEN,24.0,9.5,1.5,Bo Nix year 2 leap; Jonah Coleman RB late-round sleeper
DET,26.0,10.5,3.5,Goff and elite surrounding cast; top-5 offense
GB,25.0,10.5,3.0,Jordan Love maturing; strong line and receiving depth
HOU,25.0,9.5,2.0,CJ Stroud elite passer; strong weapons; AFC contender
IND,22.0,8.5,0.0,Anthony Richardson health key; athletic upside
JAX,20.0,6.5,-2.0,Lawrence bounce-back needed; low-tier projection
KC,25.5,10.5,3.0,Mahomes bounce-back after down 2025; +4.5 wins projected; Emmett Johnson RB
LA,27.5,11.5,4.5,Ty Simpson new QB; elite surrounding cast; tied for highest win total
LAC,23.0,8.5,0.5,Justin Herbert steady; Kaden Wetjen WR Round 4
LV,18.0,5.5,-2.5,Fernando Mendoza rookie QB; full rebuild; Mike Washington Jr RB R4
MIA,17.5,4.5,-3.5,Tua health concerns; bottom-tier; Caleb Douglas WR R3
MIN,22.5,8.5,0.5,JJ McCarthy development key; solid supporting cast
NE,24.0,9.5,1.5,Surprise projection; new coaching gains; Skyler Bell WR R4
NO,22.0,7.5,-0.5,Jordyn Tyson WR pick 8; Oscar Delp TE R3; mid-tier offense
NYG,22.0,7.5,-0.5,+3.5 wins projected from down 2025; Arvell Reese LB pick 5
NYJ,19.5,5.5,-2.0,Kenyon Sadiq TE pick 16; Omar Cooper Jr WR R1; Aaron Rodgers
PHI,25.5,10.5,3.0,Jalen Hurts elite; Makai Lemon WR added; top-5 offense
PIT,22.5,8.5,0.5,Russell Wilson; Germie Bernard WR R2; Kaden Wetjen WR R4
SEA,26.5,10.5,3.5,Super Bowl champions; Geno Smith; elite offensive system
SF,25.5,10.5,3.0,CMC and Purdy healthy; Kaelon Black RB R3 pick 90; De'Zhaun Stribling WR R2
TB,22.5,8.5,0.5,Baker Mayfield solid; mid-range system
TEN,19.0,6.5,-2.0,Carnell Tate WR picked 4th overall; Will Levis QB; rebuilding around Tate
WAS,23.5,7.5,0.5,Jayden Daniels year 2; Antonio Williams WR R3; Kaytron Allen RB late
