player_name,position,nfl_team,draft_round,draft_pick,college,situation_score,depth_chart_role,opportunity_ceiling,team_win_total,notes
Jeremiyah Love,RB,ARI,1,3,Notre Dame,72,RB1,high,4.5,"Pick 3 overall; elite draft capital for RB rare in modern NFL; immediate starter; ARI bad offense but Love gets all the work; CMC comp athletically; workhorse role locked; bad team hurts value but touches will be massive"
Carnell Tate,WR,TEN,1,4,Ohio State,68,WR1,high,6.5,"Pick 4 overall; TEN rebuilding around Tate; Will Levis QB limits ceiling; true WR1 role from day 1; heavy target share expected; scheme fit matters; Ohio State WR track record solid; low team scoring context is the key risk"
Jordyn Tyson,WR,NO,1,8,Arizona State,74,WR1,high,7.5,"Pick 8; lands in New Orleans with Derek Carr; proven deep threat and RAC ability; WR1 opportunity immediately; Saints mid-tier offense; Oscar Delp TE also drafted - complementary not competitive; strong situation overall"
Kenyon Sadiq,TE,NYJ,1,16,Oregon,55,TE1,medium,5.5,"Pick 16 TE; rare R1 TE capital; NYJ low-win projection limits scoring; Aaron Rodgers loves TEs historically; slot receiver profile; Omar Cooper Jr also drafted WR; Rodgers in final year creates urgency; TE1 role likely but low-ceiling offense"
Makai Lemon,WR,PHI,1,0,Indiana,70,WR2,medium,10.5,"Round 1 PHI; Eagles traded up; AJ Brown replacement/complement; Hurts elite QB; top-5 offense; Devonta Smith still present = WR2 competition; high floor if targets open up; PHI system great for WRs; exact pick# TBD R1"
KC Concepcion,WR,CLE,1,0,Florida State,52,WR1,medium,7.5,"Round 1 CLE; Browns rebuilding QB situation limits ceiling; WR1 opportunity by default; targets will be there but low-quality QB is serious drag; Denzel Boston R2 is competition; high targets low efficiency likely"
Omar Cooper Jr,WR,NYJ,1,0,Ohio State,53,WR2,medium,5.5,"Round 1 NYJ; Kenyon Sadiq TE also drafted same team; Rodgers distributes widely; WR2 role likely; low team win total; Ohio State WR pedigree strong; ceiling capped by team context"
Ty Simpson,QB,LA,1,13,Alabama,45,QB1,medium,11.5,"Pick 13 Rams; Rams highest win total 11.5 - elite offensive context; Alabama QB track record mixed in NFL; takes over elite skill position group; Cooper Kupp Puka Nacua etc; situation is exceptional; player question mark is the risk; monitor TC battle"
Fernando Mendoza,QB,LV,1,1,Indiana,38,QB1,low,5.5,"Pick 1 overall Raiders; full rebuild team; 5.5 win total; no fantasy value in redraft; dynasty only; Indiana system didn't prepare him for NFL complexity at scale; avoid in redraft"
De'Zhaun Stribling,WR,SF,2,33,Mississippi,62,WR2,medium,10.5,"Round 2 pick 33 49ers; lands in elite offensive system with Purdy; Brandon Aiyuk WR1 competition; Kaelon Black RB also drafted; SF scheme makes all WRs valuable; potential WR2 immediate; track YAC and route running metrics in preseason"
Denzel Boston,WR,CLE,2,39,Washington,48,WR2,medium,7.5,"Round 2 Browns; KC Concepcion R1 is WR1 ahead of him; secondary role likely; strong athletic profile; low team ceiling limits upside; monitor depth chart through TC"
Germie Bernard,WR,PIT,2,47,Alabama,55,WR2,medium,8.5,"Round 2 Steelers; Russell Wilson era; WR corps needs talent infusion; can develop into WR1 role mid-season; Alabama WR track record positive; moderate situation"
Kaelon Black,RB,SF,3,90,Indiana,65,RB2,medium,10.5,"Round 3 pick 90 49ers; Kyle Shanahan explicitly cited his traits in presser; SF RB factory scheme creates real value even for backup; Christian McCaffrey health history opens door; Shanahan quote is significant signal; buy in fantasy"
Oscar Delp,TE,NO,3,73,Georgia,50,TE2,low,7.5,"Round 3 Saints; Jordyn Tyson WR1 already drafted here; TE2 or TE3 role initially; Georgia TE analytics solid; potential to grow into TE1 if healthy; low immediate fantasy value"
Antonio Williams,WR,WAS,3,71,Clemson,52,WR3,low,7.5,"Round 3 Commanders; Jayden Daniels good QB; WR3 role to start; Daniels loves checkdowns so WR3 target share may surprise; Clemson WR track record middling"
Zachariah Branch,WR,ATL,3,79,Georgia,47,WR2,medium,6.5,"Round 3 Falcons; Penix year 2 QB; WR corps needs talent; Branch has elite athleticism; return game value adds floor; offensive ceiling limited by ATL context; sleeper upside"
Caleb Douglas,WR,MIA,3,75,Texas Tech,42,WR3,low,4.5,"Round 3 Dolphins; Tua health risk; terrible team win total 4.5; WR3 at best; avoid in redraft; dynasty only"
Ja'Kobi Lane,WR,BAL,3,80,USC,51,WR3,low,11.5,"Round 3 Ravens; Lamar Jackson run-first limits WR value; WR3 role; BAL elite team but WRs historically undervalued; pass-game role limited"
Jonah Coleman,RB,DEN,5,0,Washington,44,RB2,low,9.5,"Late round Broncos; Bo Nix year 2 offense; RB2 initially; handcuff value for Javonte Williams; late-round dart throw; dynasty upside if Williams injured"
Emmett Johnson,RB,KC,5,0,Oregon,46,RB2,low,10.5,"Late round Chiefs; Mahomes bounce-back team; RB2 role; Kareem Hunt type usage possible; KC committee backfield historically; handcuff value; late-round flier"
Kaytron Allen,RB,WAS,5,0,Penn State,43,RB2,low,7.5,"Late round Commanders; Daniels second year; RB committee; handcuff value; Penn State RB track record solid; deep-league or dynasty add"
Mike Washington Jr,RB,LV,4,122,Arkansas,35,RB2,low,5.5,"Round 4 Raiders; Mendoza rookie QB; terrible offense; avoid in redraft"
Kaden Wetjen,WR,PIT,4,121,Iowa,40,WR4,low,8.5,"Round 4 Steelers; depth only; avoid in redraft"
Skyler Bell,WR,BUF,4,125,Connecticut,40,WR4,low,10.5,"Round 4 Bills; Josh Allen offense is great but Bell too far down depth chart; avoid in redraft"
Matthew Hibner,TE,BAL,4,133,SMU,38,TE3,low,11.5,"Round 4 Ravens; Mark Andrews still TE1; blocking TE role; no fantasy value"
